group,k,fact_type,facts,Strict Coverage@k,Soft Support@k,Condition Integrity@k
text_segments,1,measurement,22,0.0,0.2727,0.6477
text_segments,1,condition-heavy,61,0.1639,0.4262,0.5869
text_segments,1,composition,9,0.0,0.3889,0.9444
text_segments,1,comparison,31,0.0645,0.3548,0.5715
text_segments,1,degradation,50,0.04,0.35,0.658
text_segments,1,other,7,0.0,0.2857,0.8929
text_segments,3,measurement,22,0.0,0.2955,0.6477
text_segments,3,condition-heavy,61,0.2131,0.5,0.6393
text_segments,3,composition,9,0.0,0.3889,0.9444
text_segments,3,comparison,31,0.0968,0.4032,0.6054
text_segments,3,degradation,50,0.04,0.4,0.701
text_segments,3,other,7,0.0,0.4286,0.8929
text_segments,5,measurement,22,0.0,0.2955,0.6477
text_segments,5,condition-heavy,61,0.2131,0.5328,0.659
text_segments,5,composition,9,0.0,0.3889,0.9444
text_segments,5,comparison,31,0.129,0.4355,0.6183
text_segments,5,degradation,50,0.08,0.42,0.713
text_segments,5,other,7,0.0,0.5,0.8929
text_segments,10,measurement,22,0.0,0.2955,0.6477
text_segments,10,condition-heavy,61,0.2131,0.5328,0.6623
text_segments,10,composition,9,0.0,0.3889,0.9444
text_segments,10,comparison,31,0.129,0.4355,0.6183
text_segments,10,degradation,50,0.08,0.43,0.718
text_segments,10,other,7,0.0,0.5,0.8929
original_hypergraph,1,measurement,22,0.0,0.0455,0.625
original_hypergraph,1,condition-heavy,61,0.0,0.0164,0.2689
original_hypergraph,1,composition,9,0.0,0.1111,0.9444
original_hypergraph,1,comparison,31,0.0323,0.0484,0.4452
original_hypergraph,1,degradation,50,0.0,0.01,0.525
original_hypergraph,1,other,7,0.0,0.0714,0.8571
original_hypergraph,3,measurement,22,0.0,0.0455,0.6705
original_hypergraph,3,condition-heavy,61,0.0,0.0246,0.3705
original_hypergraph,3,composition,9,0.0,0.1111,0.9444
original_hypergraph,3,comparison,31,0.0323,0.0645,0.4839
original_hypergraph,3,degradation,50,0.0,0.01,0.582
original_hypergraph,3,other,7,0.0,0.0714,0.8571
original_hypergraph,5,measurement,22,0.0,0.0455,0.6705
original_hypergraph,5,condition-heavy,61,0.0,0.0246,0.3902
original_hypergraph,5,composition,9,0.0,0.1111,0.9444
