candidate_oracle_evidence_id,candidate_oracle_label,candidate_oracle_score,extraction_oracle_evidence_id,extraction_oracle_label,extraction_oracle_score,fact_id,loss_stage,mode,source_doc_id,source_oracle_evidence_id,source_oracle_label,source_oracle_score,top10_label,top1_label,top3_label,top5_label
CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,PARTIALLY_SUPPORTED,0.6,CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,PARTIALLY_SUPPORTED,0.6,DOC01-FACT-001,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.6,Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.6,DOC01-FACT-002,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6,PARTIALLY_SUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,UNSUPPORTED,0.2857,CE of Nafion 117 at 100 mA/cm2 and 25 C|temperature 25 C,UNSUPPORTED,0.2857,DOC01-FACT-003,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,UNSUPPORTED,0.25,CE of Nafion 212 at 100 mA/cm2 and 25 C|temperature 25 C,UNSUPPORTED,0.25,DOC01-FACT-004,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.375,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,UNSUPPORTED,0.2222,CE of Nafion 117 at 100 mA/cm2 and 25 C|temperature 25 C,UNSUPPORTED,0.2222,DOC01-FACT-005,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4444,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,UNSUPPORTED,0.2857,CE of Nafion 212 at 100 mA/cm2 and 25 C|temperature 25 C,UNSUPPORTED,0.2857,DOC01-FACT-006,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,UNSUPPORTED,0.2727,CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,UNSUPPORTED,0.2727,DOC01-FACT-007,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2727,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
current density from 40 to 200 mA/cm2|vanadium redox flow battery,UNSUPPORTED,0.3333,Nafion 117|vanadium redox flow battery,UNSUPPORTED,0.3333,DOC01-FACT-008,rerank_or_topk,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
activation polarization|voltage efficiency (84-88%) for Nafion 212,UNSUPPORTED,0.3333,Nafion 117|vanadium redox flow battery,UNSUPPORTED,0.3333,DOC01-FACT-009,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,UNSUPPORTED,0.4,CE of Nafion 117 at 100 mA/cm2 and 25 C|temperature 25 C,UNSUPPORTED,0.4,DOC01-FACT-010,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
