condition_integrity@k,evidence_density@k,evidence_token_budget@k,gndcg@k,hit@k,k,mode,mrr,partial_count,precision@1,soft_support_score@k,source_gndcg@k,source_hit@k,strict_fact_coverage@k,supported_count,unsupported_count
0.0181,0.1305,44.81,0.5111,0.5111,1,graph_final,0.5111,10,0.5111,0.1305,1.0,0.6,0.0,0,170
0.0377,0.1816,133.36,0.6298,0.7167,3,graph_final,0.5991,12,0.5111,0.1816,0.9264,0.7778,0.0,0,168
0.0416,0.2058,221.28,0.6598,0.7944,5,graph_final,0.6166,16,0.5111,0.2058,0.8993,0.8389,0.0,0,164
0.0632,0.2329,445.37,0.6903,0.8889,10,graph_final,0.6295,18,0.5111,0.2329,0.8512,0.9278,0.0,0,162
0.0682,0.2389,91.1,0.7556,0.7556,1,final_no_rerank,0.7556,24,0.7556,0.2389,1.0,0.7222,0.0,0,156
0.1122,0.295,259.12,0.8292,0.8833,3,final_no_rerank,0.8139,35,0.7556,0.295,0.9544,0.85,0.0,0,145
0.1492,0.3239,424.73,0.8505,0.9556,5,final_no_rerank,0.83,38,0.7556,0.3239,0.9301,0.9056,0.0,0,142
0.1846,0.3543,811.15,0.8404,0.9889,10,final_no_rerank,0.8347,44,0.7556,0.3543,0.8924,0.95,0.0,0,136
0.0525,0.2209,90.04,0.7,0.7,1,hyper_final,0.7,23,0.7,0.2209,1.0,0.6667,0.0,0,157
0.1187,0.2929,263.39,0.7935,0.8611,3,hyper_final,0.7722,34,0.7,0.2929,0.9446,0.8167,0.0,0,146
0.1415,0.3217,426.04,0.8125,0.9389,5,hyper_final,0.79,38,0.7,0.3217,0.9098,0.8778,0.0,0,142
0.1851,0.3469,859.37,0.8103,0.9833,10,hyper_final,0.7961,41,0.7,0.3469,0.8735,0.9278,0.0,0,139
