candidate_oracle_evidence_id,candidate_oracle_label,candidate_oracle_score,extraction_oracle_evidence_id,extraction_oracle_label,extraction_oracle_score,fact_id,loss_stage,mode,source_doc_id,source_oracle_evidence_id,source_oracle_label,source_oracle_score,top10_label,top1_label,top3_label,top5_label
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,DOC01-FACT-001,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,DOC01-FACT-002,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.2857,condition:temperature_25_c|unresolved:single_cell_vrfb,UNSUPPORTED,0.2857,DOC01-FACT-003,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:temperature_25_c|unresolved:single_cell_vrfb,UNSUPPORTED,0.25,condition:temperature_25_c|unresolved:single_cell_vrfb,UNSUPPORTED,0.25,DOC01-FACT-004,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.375,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.2222,condition:temperature_25_c|unresolved:single_cell_vrfb,UNSUPPORTED,0.2222,DOC01-FACT-005,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4444,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.2857,condition:temperature_25_c|unresolved:single_cell_vrfb,UNSUPPORTED,0.2857,DOC01-FACT-006,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.2727,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.2727,DOC01-FACT-007,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2727,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_40_to_200_ma_cm2|unresolved:single_cell_vrfb,UNSUPPORTED,0.3333,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.3333,DOC01-FACT-008,rerank_or_topk,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_40_to_200_ma_cm2|unresolved:single_cell_vrfb,UNSUPPORTED,0.3333,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.3333,DOC01-FACT-009,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:temperature_3_8eminus_07_cm2s|condition:temperature_40_c,UNSUPPORTED,0.4,condition:temperature_25_c|unresolved:single_cell_vrfb,UNSUPPORTED,0.4,DOC01-FACT-010,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,membrane:nafion_117|membrane:nafion_212,UNSUPPORTED,0.4,DOC01-FACT-011,rerank_or_topk,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.8,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
degradation:capacity_fading|degradation:vanadium_crossover,PARTIALLY_SUPPORTED,0.5,membrane:nafion_117|membrane:nafion_212,PARTIALLY_SUPPORTED,0.5,DOC01-FACT-012,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
degradation:self_discharge_reaction|degradation:vanadium_crossover,PARTIALLY_SUPPORTED,0.5,degradation:self_discharge_reaction|degradation:vanadium_crossover,PARTIALLY_SUPPORTED,0.5,DOC01-FACT-013,retrieved,graph_final,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.5,PARTIALLY_SUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
