condition_integrity@k,evidence_density@k,evidence_token_budget@k,gndcg@k,hit@k,k,mode,mrr,partial_count,precision@1,soft_support_score@k,source_gndcg@k,source_hit@k,strict_fact_coverage@k,supported_count,unsupported_count
0.0,0.2621,47.2,0.65,0.65,1,graph_final,0.65,4,0.65,0.2621,1.0,0.65,0.0,0,16
0.025,0.3,143.8,0.7372,0.8,3,graph_final,0.7167,4,0.65,0.3,0.9174,0.8,0.0,0,16
0.025,0.3166,237.4,0.7589,0.85,5,graph_final,0.7292,4,0.65,0.3166,0.863,0.9,0.0,0,16
0.025,0.3458,467.5,0.7666,0.9,10,graph_final,0.7342,5,0.65,0.3458,0.8418,0.95,0.0,0,15
0.0,0.2858,72.9,0.75,0.75,1,final_no_rerank,0.75,5,0.75,0.2858,1.0,0.7,0.0,0,15
0.1,0.3747,260,0.8412,0.9,3,final_no_rerank,0.8167,7,0.75,0.3747,0.9624,0.8,0.0,0,13
0.225,0.3914,479.05,0.862,0.95,5,final_no_rerank,0.8267,7,0.75,0.3914,0.9154,0.85,0.0,0,13
0.2417,0.4205,882.3,0.8662,1.0,10,final_no_rerank,0.8338,7,0.75,0.4205,0.8552,0.95,0.0,0,13
0.0,0.2829,66.85,0.75,0.75,1,hyper_final,0.75,4,0.75,0.2829,1.0,0.65,0.0,0,16
0.125,0.3747,259.35,0.8443,0.9,3,hyper_final,0.8167,7,0.75,0.3747,0.9616,0.75,0.0,0,13
0.175,0.3914,468.25,0.8645,0.95,5,hyper_final,0.8267,7,0.75,0.3914,0.9102,0.85,0.0,0,13
0.2417,0.3914,956.1,0.8561,0.95,10,hyper_final,0.8267,7,0.75,0.3914,0.8462,0.9,0.0,0,13
